,residential and commericial development,agriculture and aquaculture,energy production and mining,transportation and service corridors,biological resource use,human intrusions and disturbance,natural system modifications,"invasive and other problematic species, genes and diseases",pollution,geological events,climate change and severe weather,other/unknown,TOTAL
antarctic,8,4,3,4,47,8,4,34,15,1,31,0,159
caribbean islands,282,377,70,80,471,112,96,332,142,13,276,10,2261
east asia,617,420,161,394,972,359,410,484,631,21,427,5,4901
europe,847,806,221,288,506,396,1244,553,845,112,1035,27,6880
mesoamerica,596,840,117,168,876,176,440,705,512,43,461,5,4939
north africa,239,118,50,163,366,187,126,182,255,0,278,6,1970
north america,310,244,150,194,392,177,396,479,485,1,367,6,3201
north asia,89,112,53,59,197,69,110,86,123,2,98,10,1008
oceania,596,596,286,343,949,407,585,1180,530,20,827,10,6329
south america,999,1995,706,412,1572,253,915,854,903,55,580,9,9253
south and southeast asia,1327,1852,717,574,2414,654,994,857,1379,51,824,15,11658
sub-saharian africa,1015,2020,538,366,2224,411,808,1333,970,34,1044,21,10784
west and central asia,358,232,86,224,523,258,362,285,410,0,449,13,3200
TOTAL,7283,9616,3158,3269,11509,3467,6490,7364,7200,353,6697,137,66543
