,fungi,plantae,animalia,chromista,TOTAL
antarctic,0,3,55,0,58
caribbean islands,1,1258,744,0,2003
east asia,20,1016,1473,0,2509
europe,115,1083,2552,0,3750
mesoamerica,13,2457,1524,0,3994
north africa,11,91,505,0,607
north america,126,831,1265,0,2222
north asia,59,97,292,0,448
oceania,34,2956,2144,0,5134
south america,123,6543,3210,6,9882
south and southeast asia,16,5545,3566,0,9127
sub-saharian africa,16,7830,3800,0,11646
west and central asia,19,719,902,0,1640
TOTAL,553,30429,22032,6,53020
