,residential and commericial development,agriculture and aquaculture,energy production and mining,transportation and service corridors,biological resource use,human intrusions and disturbance,natural system modifications,"invasive and other problematic species, genes and diseases",pollution,geological events,climate change and severe weather,other/unknown,TOTAL
antarctic,0,0,0,0,0,0,0,0,0,0,0,0,0
caribbean islands,0,0,0,0,0,0,0,0,0,0,0,0,0
east asia,0,0,0,0,0,0,0,0,0,0,0,0,0
europe,0,0,0,0,0,0,0,0,0,0,0,0,0
mesoamerica,0,0,0,0,0,0,0,0,0,0,0,0,0
north africa,0,0,0,0,0,0,0,0,0,0,0,0,0
north america,0,0,0,0,0,0,0,0,0,0,0,0,0
north asia,0,0,0,0,0,0,0,0,0,0,0,0,0
oceania,0,0,0,0,0,0,0,0,0,0,0,0,0
south america,0,0,0,0,0,0,0,5,0,0,6,0,11
south and southeast asia,0,0,0,0,0,0,0,0,0,0,0,0,0
sub-saharian africa,0,0,0,0,0,0,0,0,0,0,0,0,0
west and central asia,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,0,0,0,0,0,0,0,5,0,0,6,0,11
