,residential and commericial development,agriculture and aquaculture,energy production and mining,transportation and service corridors,biological resource use,human intrusions and disturbance,natural system modifications,"invasive and other problematic species, genes and diseases",pollution,geological events,climate change and severe weather,other/unknown,TOTAL
antarctic,1,3,1,0,1,0,3,1,0,0,0,0,10
caribbean islands,408,807,208,149,615,65,352,443,23,56,468,5,3599
east asia,296,477,22,148,430,109,80,37,68,15,98,11,1791
europe,290,518,107,181,211,291,416,349,107,133,214,34,2851
mesoamerica,662,2037,221,148,1381,123,584,68,41,31,414,31,5741
north africa,45,73,5,22,40,40,37,12,30,1,43,2,350
north america,115,173,32,37,86,94,293,722,38,161,413,28,2192
north asia,31,59,19,8,23,23,24,10,4,0,14,2,217
oceania,528,1371,546,356,702,137,1159,1111,74,40,315,35,6374
south america,1697,4119,1431,710,2118,257,1011,237,187,35,413,20,12235
south and southeast asia,2464,3863,441,708,2741,378,1230,115,106,133,329,44,12552
sub-saharian africa,1518,5661,1927,259,4869,245,4096,636,147,42,535,57,19992
west and central asia,210,429,81,173,180,76,261,28,28,16,195,6,1683
TOTAL,8265,19590,5041,2899,13397,1838,9546,3769,853,663,3451,275,69587
